codepoint,character,name,ascii_replacement
U+0449,щ,CYRILLIC SMALL LETTER SHCHA,shch
U+044A,ъ,CYRILLIC SMALL LETTER HARD SIGN,ie
U+044B,ы,CYRILLIC SMALL LETTER YERU,y
U+044C,ь,CYRILLIC SMALL LETTER SOFT SIGN,
U+044D,э,CYRILLIC SMALL LETTER E,e
U+044E,ю,CYRILLIC SMALL LETTER YU,iu
U+044F,я,CYRILLIC SMALL LETTER YA,ia
U+0451,ё,CYRILLIC SMALL LETTER IO,e
U+0452,ђ,CYRILLIC SMALL LETTER DJE,d
U+0454,є,CYRILLIC SMALL LETTER UKRAINIAN IE,ie
U+0455,ѕ,CYRILLIC SMALL LETTER DZE,dz
U+0456,і,CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I,i
U+0457,ї,CYRILLIC SMALL LETTER YI,i
U+0458,ј,CYRILLIC SMALL LETTER JE,j
U+0459,љ,CYRILLIC SMALL LETTER LJE,lj
U+045A,њ,CYRILLIC SMALL LETTER NJE,nj
U+045C,ќ,CYRILLIC SMALL LETTER KJE,k
U+045E,ў,CYRILLIC SMALL LETTER SHORT U,u
U+045F,џ,CYRILLIC SMALL LETTER DZHE,dz
U+0490,Ґ,CYRILLIC CAPITAL LETTER GHE WITH UPTURN,G
U+0491,ґ,CYRILLIC SMALL LETTER GHE WITH UPTURN,g
U+1E9E,ẞ,LATIN CAPITAL LETTER SHARP S,SS
